Marca;Modelo;Precio;P/N;Valoración;Valoraciones 5 estrellas;Valoraciones 4 estrellas;Valoraciones 3 estrellas;Valoraciones 2 estrellas;Valoraciones 1 estrellas
Samsung;"Samsung Galaxy A56 5G 8GB/128GB Smartphone 6.7"" Super AMOLED 50MP 5000mAh 45W Android 15 Negro";429,00€;SM-A566BZKAEUB;4,7/5;1137;175;43;12;19
Samsung;Samsung Galaxy S25 Ultra Smartphone con IA Almacenamiento 512 GB Batería 5.000mAh Titanio Negro;1199,00€;SM-S938BZKGEUB;4,8/5;14401;1623;253;73;97
Samsung;"Samsung Galaxy A56 5G 8GB/128GB Smartphone 6.7"" Super AMOLED 50MP 5000mAh 45W Android 15 Oliva";429,00€;SM-A566BZGAEUB;4,7/5;1137;175;43;12;19
Realme;Realme 14 Pro Plus 5G 12GB 512GB Snapdragon 7 Gen 3 Android 15 Blanco Perlado;350,00€;631011004926;4,6/5;51;12;4;1;0
Samsung;Samsung Galaxy A16 Smartphone 4GB/128GB 6.7″ Negro;137,99€;SM-A165FZKBEUE;4,6/5;34;10;1;0;1
Apple;Apple iPhone 16 Pro 512GB Titanio Blanco Libre;1479,00€;MYNN3QL/A;4,7/5;442;25;5;2;14
Honor;"Honor X6b 4GB/128GB Smartphone 6.56"" 50MP IA 35W Android 14 Negro";99,00€;6936520843688;4,1/5;4;0;3;0;0
POCO;POCO X7 Pro 5G 12/256GB Negro Libre;329,00€;MZB0J31EU;4,7/5;204;29;4;2;3
Honor;"Honor 200 5G 8GB/256GB Smartphone 5G 6.7"" 5200mAh 100W 50MP Snapdragon 7 Gen 3 Negro Libre";299,00€;5109BGRK;4,7/5;26;5;1;0;0
Xiaomi;"Smartphone Xiaomi Redmi 15 5G 8GB 256GB 6.9"" FHD+ 144Hz 7000mAh Dual SIM NFC Negro Medianoche";180,52€;MZB0L6GEU;4,5/5;31;5;3;1;1
Samsung;"Samsung Galaxy A56 5G 8GB/128GB Smartphone 6.7"" Super AMOLED 50MP 5000mAh 45W Android 15 Gris";429,00€;SM-A566BZAAEUB;4,7/5;1137;175;43;12;19
Xiaomi;Xiaomi Redmi Note 14 5G 8/256GB Violeta Lavanda Libre;248,99€;MZB0IO1EU;4,6/5;190;45;7;2;7
Xiaomi;"Xiaomi Redmi 15C 4GB 256GB 6.9"" 120Hz Batería 6000mAh Carga Rápida 33W Negro Medianoche";168,99€;MZB0LIFEU;4,5/5;8;7;0;0;0
Apple;Apple iPhone Air 256GB Blanco Nube;1219,00€;MG2M4QL/A;4,4/5;12;0;0;1;1
